nodename,issid,nodesize,straintype,color,human,plant,soil,water,unknown,others
Partial-s76-r(3):b266,0,4,2,nan,0,0,0,0,4,0
Partial-s76-r(2):b267,0,4,2,nan,0,2,0,0,2,0
Partial-s77-r(6):b268,0,1,2,nan,0,0,1,0,0,0
Partial-s77-r(6):b269,0,1,2,nan,0,0,0,0,1,0
Partial-s77-r(6):b270,0,1,2,nan,0,0,1,0,0,0
Partial-s78-r(5):b271,0,2,2,nan,0,0,2,0,0,0
Partial-s80-r(8):b272,0,1,2,nan,0,0,0,0,1,0
Partial-s80-r(9):b273,0,1,2,nan,0,0,0,0,1,0
Partial-s80-r(8):b274,0,2,2,nan,0,0,2,0,0,0
Partial-s80-r(7):b275,0,1,2,nan,0,0,1,0,0,0
Partial-s80-r(4):b276,0,3,2,nan,1,0,0,0,1,1
Partial-s80-r(3):b277,0,6,2,nan,0,1,1,0,2,2
Partial-s80-r(2):b278,0,1,2,nan,0,0,1,0,0,0
Partial-s80-r(7):b279,0,1,2,nan,0,0,0,1,0,0
Partial-s80-r(2):b280,0,1,2,nan,0,0,1,0,0,0
Pure-s80:b281,0,3,1,nan,0,1,0,0,0,2
Partial-s81-r(10):b282,0,1,2,nan,0,0,0,0,1,0
Partial-s81-r(7):b283,0,1,2,nan,0,1,0,0,0,0
Partial-s81-r(8):b284,0,1,2,nan,0,0,0,1,0,0
Partial-s81-r(6):b285,0,1,2,nan,0,0,1,0,0,0
Partial-s81-r(6):b286,0,1,2,nan,0,0,1,0,0,0
Partial-s81-r(5):b287,0,1,2,nan,1,0,0,0,0,0
Partial-s81-r(6):b288,0,1,2,nan,0,0,0,1,0,0
Partial-s81-r(6):b289,0,2,2,nan,0,1,1,0,0,0
Partial-s81-r(5):b290,0,2,2,nan,0,2,0,0,0,0
Partial-s81-r(3):b291,0,1,2,nan,0,0,0,0,1,0
Partial-s81-r(11):b292,0,1,2,nan,0,0,0,0,1,0
Partial-s81-r(3):b293,0,2,2,nan,2,0,0,0,0,0
Partial-s82-r(12):b294,0,2,2,nan,0,0,1,0,1,0
Partial-s82-r(12):b295,0,1,2,nan,0,0,0,1,0,0
Partial-s84-r(2):b296,0,3,2,nan,0,0,0,0,2,1
Partial-s84-r(6):b297,0,2,2,nan,0,0,0,1,1,0
Partial-s84-r(7):b298,0,1,2,nan,0,0,0,0,1,0
Partial-s85-r(6):b299,0,1,2,nan,0,0,0,1,0,0
Partial-s85-r(5):b300,0,1,2,nan,0,0,1,0,0,0
Partial-s86-r(4):b301,0,1,2,nan,0,0,0,0,0,1
Partial-s87-r(5):b302,0,1,2,nan,0,0,1,0,0,0
Partial-s87-r(4):b303,0,1,2,nan,0,0,0,1,0,0
Partial-s87-r(2):b304,0,1,2,nan,1,0,0,0,0,0
Partial-s88-r(8):b305,0,1,2,nan,0,0,0,0,0,1
Partial-s89-r(6):b306,0,1,2,nan,0,0,0,0,0,1
Partial-s90-r(7):b307,0,1,2,nan,0,0,0,0,1,0
Partial-s90-r(2):b308,0,3,2,nan,0,1,1,0,1,0
Partial-s90-r(5):b309,0,1,2,nan,0,0,0,0,1,0
Partial-s90-r(3):b310,0,2,2,nan,0,1,1,0,0,0
Partial-s90-r(12):b311,0,1,2,nan,0,0,0,0,1,0
Partial-s90-r(9):b312,0,2,2,nan,0,0,0,0,0,2
Partial-s90-r(5):b313,0,1,2,nan,0,0,0,0,1,0
Partial-s90-r(3):b314,0,3,2,nan,0,0,0,0,3,0
Partial-s90-r(4):b315,0,1,2,nan,0,0,1,0,0,0
Partial-s90-r(4):b316,0,1,2,nan,0,1,0,0,0,0
Partial-s90-r(3):b317,0,1,2,nan,0,0,0,0,1,0
Partial-s90-r(8):b318,0,1,2,nan,0,0,0,0,0,1
Partial-s90-r(2):b319,0,1,2,nan,0,1,0,0,0,0
Partial-s90-r(5):b320,0,1,2,nan,0,0,0,0,0,1
Partial-s90-r(3):b321,0,1,2,nan,0,0,0,0,1,0
Partial-s90-r(2):b322,0,4,2,nan,0,0,0,1,3,0
Partial-s90-r(3):b323,0,1,2,nan,0,1,0,0,0,0
Partial-s90-r(3):b324,0,7,2,nan,0,0,3,0,4,0
Partial-s90-r(2):b325,0,1,2,nan,0,0,1,0,0,0
Partial-s90-r(6):b326,0,1,2,nan,0,0,0,0,0,1
Partial-s90-r(9):b327,0,1,2,nan,0,0,0,0,0,1
Partial-s90-r(8):b328,0,1,2,nan,0,0,0,0,0,1
Partial-s90-r(9):b329,0,1,2,nan,0,0,0,0,0,1
Partial-s90-r(2):b330,0,1,2,nan,0,0,0,0,1,0
Pure-s90:b331,0,37,1,nan,0,4,12,6,12,3
Partial-s90-r(2):b332,0,3,2,nan,0,0,0,0,1,2
Partial-s90-r(4):b333,0,13,2,nan,6,0,0,1,0,6
Partial-s90-r(3):b334,0,5,2,nan,1,0,0,0,3,1
Partial-s90-r(2):b335,0,5,2,nan,0,0,1,1,2,1
Partial-s91-r(13):b336,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(12):b337,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(18):b338,0,1,2,nan,0,0,0,1,0,0
Partial-s91-r(8):b339,0,1,2,nan,0,0,0,1,0,0
Partial-s91-r(9):b340,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(8):b341,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(8):b342,0,2,2,nan,0,0,0,0,2,0
Partial-s91-r(9):b343,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(7):b344,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(6):b345,0,5,2,nan,0,1,1,0,3,0
Partial-s91-r(5):b346,0,2,2,nan,0,0,0,1,1,0
Partial-s91-r(6):b347,0,2,2,nan,1,0,1,0,0,0
Partial-s91-r(8):b348,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(7):b349,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(6):b350,0,2,2,nan,0,0,0,1,1,0
Partial-s91-r(6):b351,0,4,2,nan,0,1,0,0,3,0
Partial-s91-r(9):b352,0,1,2,nan,0,0,0,0,0,1
Partial-s91-r(9):b353,0,1,2,nan,0,0,0,0,0,1
Partial-s91-r(8):b354,0,3,2,nan,0,0,0,0,3,0
Partial-s91-r(5):b355,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(5):b356,0,4,2,nan,0,1,1,0,2,0
Partial-s91-r(6):b357,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(4):b358,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(5):b359,0,1,2,nan,0,0,0,1,0,0
Partial-s91-r(5):b360,0,2,2,nan,0,0,0,0,2,0
Partial-s91-r(6):b361,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(6):b362,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(3):b363,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(4):b364,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(5):b365,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(4):b366,0,4,2,nan,0,0,2,1,1,0
Partial-s91-r(6):b367,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(8):b368,0,1,2,nan,1,0,0,0,0,0
Partial-s91-r(6):b369,0,1,2,nan,0,0,0,0,0,1
Partial-s91-r(4):b370,0,1,2,nan,0,0,0,0,0,1
Partial-s91-r(5):b371,0,7,2,nan,3,0,1,0,2,1
Partial-s91-r(4):b372,0,4,2,nan,1,1,0,0,1,1
Partial-s91-r(3):b373,0,2,2,nan,0,1,1,0,0,0
Partial-s91-r(4):b374,0,13,2,nan,1,3,3,1,3,2
Partial-s91-r(5):b375,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(3):b376,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(2):b377,0,10,2,nan,0,0,9,1,0,0
Partial-s91-r(4):b378,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(3):b379,0,7,2,nan,0,1,1,1,3,1
Partial-s91-r(7):b380,0,1,2,nan,0,0,0,0,1,0
Partial-s91-r(5):b381,0,2,2,nan,0,0,0,1,1,0
Partial-s91-r(9):b382,0,1,2,nan,0,0,0,0,0,1
Partial-s91-r(2):b383,0,11,2,nan,0,3,1,1,6,0
Partial-s91-r(3):b384,0,1,2,nan,0,1,0,0,0,0
Partial-s91-r(6):b385,0,1,2,nan,0,0,0,1,0,0
Partial-s91-r(5):b386,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(6):b387,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(2):b388,0,4,2,nan,0,4,0,0,0,0
Partial-s91-r(4):b389,0,1,2,nan,0,0,1,0,0,0
Partial-s91-r(3):b390,0,2,2,nan,0,0,1,0,1,0
Partial-s91-r(3):b391,0,1,2,nan,0,0,1,0,0,0
